Num of Anchor; Time [ms]; Data Anchor
1780; 34395.0;1.84
1780; 35397.0;2.02
1780; 36399.0;2.06
1780; 37401.0;2.06
1780; 38403.0;2.05
1780; 39405.0;2.06
1780; 40407.0;2.07
1780; 41409.0;2.03
1780; 42411.0;2.08
1780; 43413.0;2.06
1780; 44415.0;2.01
1780; 45417.0;2.03
1780; 46419.0;2.04
1780; 47421.0;2.06
1780; 48423.0;2.06
1780; 49425.0;2.06
1780; 50427.0;2.05
1780; 51429.0;2.07
1780; 52431.0;2.04
1780; 53433.0;2.06
1780; 54435.0;2.07
1780; 55437.0;2.03
1780; 56439.0;2.04
1780; 57441.0;2.04
1780; 58443.0;2.06
1780; 59445.0;2.03
1780; 60447.0;2.06
1780; 61449.0;2.02
1780; 62451.0;2.03
1780; 63453.0;2.0
1780; 64455.0;2.0
1780; 65457.0;2.01
1780; 66459.0;2.02
1780; 67461.0;2.01
1780; 68463.0;2.03
1780; 69465.0;2.07
1780; 70467.0;2.05
1780; 71469.0;2.04
1780; 72471.0;2.05
1780; 73473.0;2.02
1780; 74475.0;2.09
1780; 75477.0;2.04
1780; 76479.0;2.05
1780; 77481.0;2.06
1780; 78483.0;2.02
1780; 79485.0;2.07
1780; 80487.0;2.05
1780; 81489.0;2.0
1780; 82491.0;2.06
1780; 83493.0;2.02
1780; 84495.0;2.01
1780; 85497.0;2.04
1780; 86499.0;2.0
1780; 87501.0;2.0
1780; 88503.0;1.98
1780; 89505.0;1.97
1780; 90507.0;2.0
1780; 91509.0;2.04
1780; 92511.0;2.02
1780; 93513.0;1.96
1780; 94515.0;2.0
1780; 95517.0;1.99
1780; 96519.0;2.0
1780; 97521.0;1.97
1780; 98523.0;1.98
1780; 99525.0;2.01
1780; 100527.0;2.02
1780; 101529.0;1.98
1780; 102531.0;2.0
1780; 103533.0;1.97
1780; 104535.0;1.99
1780; 105537.0;1.97
1780; 106539.0;1.96
1780; 107541.0;1.97
1780; 108543.0;1.97
1780; 109545.0;1.95
1780; 110547.0;1.95
1780; 111549.0;2.04
1780; 112551.0;1.96
1780; 113553.0;1.98
1780; 114555.0;2.01
1780; 115557.0;1.98
1780; 116559.0;1.97
1780; 117561.0;1.99
1780; 118563.0;2.01
1780; 119565.0;2.02
1780; 120567.0;1.99
1780; 121569.0;2.02
1780; 122571.0;2.0
1780; 123573.0;1.97
1780; 124575.0;2.01
1780; 125577.0;2.01
1780; 126579.0;2.0
1780; 127581.0;2.01
1780; 128583.0;2.03
1780; 129585.0;2.02
1780; 130587.0;2.02
1780; 131589.0;2.04
1780; 132591.0;2.01
1780; 133593.0;2.01
1780; 134595.0;2.0
1780; 135597.0;2.01
1780; 136599.0;2.01
1780; 137601.0;2.04
1780; 138603.0;2.04
1780; 139605.0;2.03
1780; 140607.0;2.03
1780; 141609.0;2.05
1780; 142611.0;2.09
1780; 143613.0;2.04
1780; 144615.0;2.06
1780; 145617.0;2.04
1780; 146619.0;2.03
1780; 147621.0;2.02
1780; 148623.0;2.04
1780; 149625.0;2.07
1780; 150627.0;2.07
1780; 151629.0;2.05
1780; 152631.0;2.04
1780; 153633.0;1.99
1780; 154635.0;2.01
1780; 155637.0;2.07
1780; 156639.0;2.06
1780; 157641.0;2.0
1780; 158643.0;2.07
1780; 159645.0;2.0
1780; 160647.0;2.03
