Num of Anchor; Time [ms]; Data Anchor
1780 ; 4893.0;1.69
1780 ; 5895.0;1.8
1780 ; 6897.0;1.81
1780 ; 7899.0;1.87
1780 ; 8901.0;1.81
1780 ; 9903.0;1.8
1780 ; 10905.0;1.8
1780 ; 11907.0;1.82
1780 ; 12909.0;1.82
1780 ; 13911.0;1.77
1780 ; 14913.0;1.77
1780 ; 15915.0;1.78
1780 ; 16917.0;1.79
1780 ; 17919.0;1.85
1780 ; 18921.0;1.85
1780 ; 19923.0;1.85
1780 ; 20925.0;1.83
1780 ; 21927.0;1.83
1780 ; 22929.0;1.82
1780 ; 23931.0;1.83
1780 ; 24933.0;1.82
1780 ; 25935.0;1.82
1780 ; 26937.0;1.81
1780 ; 27939.0;1.83
1780 ; 28941.0;1.82
1780 ; 29944.0;1.82
1780 ; 30946.0;1.82
1780 ; 31948.0;1.81
1780 ; 32950.0;1.82
1780 ; 33952.0;1.81
1780 ; 34954.0;1.82
1780 ; 35956.0;1.82
1780 ; 36958.0;1.82
1780 ; 37960.0;1.81
1780 ; 38962.0;1.82
1780 ; 39964.0;1.82
1780 ; 40966.0;1.83
1780 ; 41968.0;1.83
1780 ; 42970.0;1.83
1780 ; 43972.0;1.83
1780 ; 44974.0;1.84
1780 ; 45976.0;1.84
1780 ; 46978.0;1.83
1780 ; 47980.0;1.83
1780 ; 48982.0;1.82
1780 ; 49984.0;1.82
1780 ; 50986.0;1.82
1780 ; 51988.0;1.81
1780 ; 52990.0;1.81
1780 ; 53992.0;1.81
1780 ; 54994.0;1.8
1780 ; 55996.0;1.77
1780 ; 56998.0;1.78
1780 ; 58000.0;1.81
1780 ; 59002.0;1.83
1780 ; 60004.0;1.82
1780 ; 61006.0;1.81
1780 ; 62008.0;1.82
1780 ; 63010.0;1.79
1780 ; 64012.0;1.81
1780 ; 65014.0;1.79
1780 ; 66016.0;1.81
1780 ; 67018.0;1.81
1780 ; 68020.0;1.81
1780 ; 69022.0;1.83
1780 ; 70024.0;1.82
1780 ; 71026.0;1.82
1780 ; 72028.0;1.82
1780 ; 73030.0;1.82
1780 ; 74032.0;1.82
1780 ; 75034.0;1.82
1780 ; 76036.0;1.83
1780 ; 77038.0;1.82
1780 ; 78040.0;1.82
1780 ; 79042.0;1.82
1780 ; 80044.0;1.81
1780 ; 81046.0;1.82
1780 ; 82048.0;1.8
1780 ; 83050.0;1.81
1780 ; 84052.0;1.8
1780 ; 85054.0;1.82
1780 ; 86056.0;1.81
1780 ; 87058.0;1.83
1780 ; 88060.0;1.83
1780 ; 89062.0;1.81
1780 ; 90064.0;1.82
1780 ; 91066.0;1.84
1780 ; 92068.0;1.84
1780 ; 93070.0;1.82
1780 ; 94072.0;1.82
1780 ; 95074.0;1.83
1780 ; 96076.0;1.82
1780 ; 97078.0;1.82
1780 ; 98080.0;1.82
1780 ; 99082.0;1.82
1780 ; 100084.0;1.84
1780 ; 101086.0;1.82
1780 ; 102088.0;1.82
1780 ; 103090.0;1.81
1780 ; 104093.0;1.82
1780 ; 105095.0;1.81
1780 ; 106097.0;1.81
1780 ; 107099.0;1.82
1780 ; 108101.0;1.81
1780 ; 109103.0;1.81
1780 ; 110105.0;1.84
1780 ; 111107.0;1.83
1780 ; 112109.0;1.79
1780 ; 113111.0;1.82
