Num of Anchor; Time [ms]; Data Anchor
1780 ; 6759.0;0.64633
1780 ; 7762.0;0.70863
1780 ; 8765.0;0.71291
1780 ; 9768.0;0.69555
1780 ; 10771.0;0.6996
1780 ; 11774.0;0.71398
1780 ; 12777.0;0.70451
1780 ; 13780.0;0.71034
1780 ; 14783.0;0.69688
1780 ; 15786.0;0.7195
1780 ; 16789.0;0.70382
1780 ; 17792.0;0.70633
1780 ; 18795.0;0.70517
1780 ; 19798.0;0.70927
1780 ; 20801.0;0.69873
1780 ; 21804.0;0.70945
1780 ; 22807.0;0.72058
1780 ; 23810.0;0.71601
1780 ; 24813.0;0.70415
1780 ; 25816.0;0.71055
1780 ; 26819.0;0.705
1780 ; 27823.0;0.69861
1780 ; 28826.0;0.69685
1780 ; 29829.0;0.69778
1780 ; 30832.0;0.68014
1780 ; 31835.0;0.70657
1780 ; 32838.0;0.70489
1780 ; 33841.0;0.70686
1780 ; 34844.0;0.70513
1780 ; 35847.0;0.70029
1780 ; 36850.0;0.69328
1780 ; 37853.0;0.69889
1780 ; 38856.0;0.69935
1780 ; 39859.0;0.6924
1780 ; 40862.0;0.70731
1780 ; 41865.0;0.69705
1780 ; 42868.0;0.71481
1780 ; 43871.0;0.7112
1780 ; 44874.0;0.7032
1780 ; 45877.0;0.7035
1780 ; 46880.0;0.70145
1780 ; 47883.0;0.70679
1780 ; 48886.0;0.70682
1780 ; 49889.0;0.715
1780 ; 50892.0;0.70888
1780 ; 51895.0;0.71438
1780 ; 52900.0;0.70626
1780 ; 53903.0;0.69618
1780 ; 54906.0;0.71205
1780 ; 55909.0;0.7133
1780 ; 56912.0;0.71434
1780 ; 57915.0;0.7049
1780 ; 58918.0;0.69278
1780 ; 59921.0;0.70627
1780 ; 60924.0;0.69587
1780 ; 61927.0;0.70025
1780 ; 62930.0;0.71421
1780 ; 63933.0;0.71417
1780 ; 64936.0;0.70451
1780 ; 65939.0;0.70313
1780 ; 66942.0;0.70449
1780 ; 67946.0;0.70005
1780 ; 68949.0;0.70921
1780 ; 69952.0;0.70858
1780 ; 70955.0;0.70458
1780 ; 71958.0;0.70815
1780 ; 72961.0;0.69794
1780 ; 73964.0;0.6927
1780 ; 74967.0;0.70384
1780 ; 75970.0;0.71131
1780 ; 76973.0;0.6935
1780 ; 77976.0;0.69269
1780 ; 78979.0;0.71646
1780 ; 79982.0;0.71557
1780 ; 80985.0;0.71353
1780 ; 81988.0;0.71538
1780 ; 82991.0;0.69915
1780 ; 83994.0;0.69526
1780 ; 84997.0;0.69434
1780 ; 86000.0;0.708
1780 ; 87003.0;0.70518
1780 ; 88006.0;0.70928
1780 ; 89009.0;0.69878
1780 ; 90012.0;0.70492
1780 ; 91015.0;0.70919
1780 ; 92018.0;0.71427
1780 ; 93021.0;0.70121
1780 ; 94024.0;0.7122
1780 ; 95027.0;0.70627
1780 ; 96030.0;0.70724
1780 ; 97034.0;0.71108
1780 ; 98037.0;0.71485
1780 ; 99040.0;0.71414
1780 ; 100043.0;0.70232
1780 ; 101046.0;0.70724
1780 ; 102049.0;0.71408
1780 ; 103052.0;0.71707
1780 ; 104055.0;0.69873
1780 ; 105058.0;0.70026
1780 ; 106061.0;0.70453
1780 ; 107064.0;0.70705
1780 ; 108067.0;0.6995
1780 ; 109070.0;0.70995
1780 ; 110073.0;0.69804
1780 ; 111076.0;0.70518
1780 ; 112079.0;0.68717
1780 ; 113082.0;0.69397
1780 ; 114085.0;0.69778
1780 ; 115088.0;0.7019
1780 ; 116091.0;0.71242
1780 ; 117094.0;0.6797
1780 ; 118097.0;0.71126
1780 ; 119100.0;0.71628
1780 ; 120103.0;0.70391
1780 ; 121106.0;0.71623
1780 ; 122109.0;0.70962
1780 ; 123112.0;0.70721
1780 ; 124115.0;0.70076
1780 ; 125118.0;0.71511
1780 ; 126121.0;0.71285
1780 ; 127124.0;0.71212
1780 ; 128127.0;0.69562
1780 ; 129130.0;0.71213
1780 ; 130133.0;0.7096
1780 ; 131136.0;0.70252
1780 ; 132139.0;0.70395
1780 ; 133142.0;0.71881
1780 ; 134145.0;0.69815
1780 ; 135148.0;0.71848
1780 ; 136151.0;0.69633
1780 ; 137154.0;0.69722
1780 ; 138157.0;0.70849
1780 ; 139160.0;0.70997
1780 ; 140163.0;0.7203
1780 ; 141166.0;0.70957
1780 ; 142169.0;0.69842
1780 ; 143172.0;0.71932
1780 ; 144175.0;0.71909
1780 ; 145178.0;0.71169
1780 ; 146181.0;0.7047
1780 ; 147184.0;0.70845
1780 ; 148187.0;0.69491
1780 ; 149190.0;0.71527
1780 ; 150193.0;0.70665
1780 ; 151196.0;0.71088
1780 ; 152199.0;0.6934
1780 ; 153202.0;0.69705
1780 ; 154205.0;0.69871
1780 ; 155208.0;0.69578
1780 ; 156211.0;0.70763
1780 ; 157214.0;0.69689
1780 ; 158217.0;0.71807
1780 ; 159220.0;0.71018
1780 ; 160223.0;0.69609
1780 ; 161226.0;0.69349
1780 ; 162229.0;0.71314
1780 ; 163232.0;0.70155
1780 ; 164235.0;0.71661
1780 ; 165238.0;0.70025
1780 ; 166241.0;0.70734
1780 ; 167244.0;0.69845
1780 ; 168247.0;0.69698
1780 ; 169250.0;0.70803
1780 ; 170253.0;0.70146
1780 ; 171256.0;0.6993
1780 ; 172259.0;0.71369
1780 ; 173262.0;0.70351
1780 ; 174265.0;0.71103
1780 ; 175268.0;0.7029
1780 ; 176271.0;0.69354
1780 ; 177274.0;0.68787
1780 ; 178277.0;0.68971
1780 ; 179280.0;0.69884
1780 ; 180283.0;0.71891
1780 ; 181286.0;0.69599
1780 ; 182289.0;0.7055
1780 ; 183292.0;0.69916
1780 ; 184295.0;0.71517
1780 ; 185298.0;0.70877
1780 ; 186301.0;0.69874
1780 ; 187304.0;0.7102
1780 ; 188307.0;0.69097
1780 ; 189310.0;0.68975
1780 ; 190313.0;0.71186
1780 ; 191316.0;0.70666
1780 ; 192319.0;0.71262
1780 ; 193322.0;0.72337
1780 ; 194325.0;0.70707
1780 ; 195328.0;0.69002
1780 ; 196331.0;0.68221
1780 ; 197334.0;0.69862
1780 ; 198337.0;0.70787
1780 ; 199340.0;0.70104
1780 ; 200343.0;0.70876
1780 ; 201346.0;0.70514
1780 ; 202349.0;0.69881
1780 ; 203352.0;0.69794
1780 ; 204355.0;0.70697
1780 ; 205358.0;0.70815
1780 ; 206361.0;0.70284
1780 ; 207364.0;0.70616
1780 ; 208367.0;0.71775
1780 ; 209370.0;0.6986
1780 ; 210373.0;0.7165
1780 ; 211376.0;0.69438
1780 ; 212379.0;0.69869
1780 ; 213382.0;0.71394
1780 ; 214386.0;0.70918
1780 ; 215389.0;0.70845
1780 ; 216392.0;0.72687
1780 ; 217395.0;0.6959
1780 ; 218398.0;0.70479
1780 ; 219401.0;0.69185
1780 ; 220404.0;0.71844
1780 ; 221407.0;0.70398
1780 ; 222410.0;0.70527
1780 ; 223413.0;0.7091
1780 ; 224416.0;0.70267
1780 ; 225419.0;0.71612
1780 ; 226422.0;0.70906
1780 ; 227425.0;0.71288
1780 ; 228428.0;0.70398
1780 ; 229431.0;0.71498
1780 ; 230434.0;0.69906
1780 ; 231437.0;0.6891
1780 ; 232440.0;0.70263
1780 ; 233443.0;0.70774
1780 ; 234446.0;0.70052
1780 ; 235449.0;0.69408
1780 ; 236452.0;0.70034
1780 ; 237455.0;0.69484
1780 ; 238458.0;0.70668
1780 ; 239461.0;0.70625
1780 ; 240464.0;0.70138
1780 ; 241467.0;0.71533
1780 ; 242470.0;0.70496
1780 ; 243473.0;0.70474
1780 ; 244476.0;0.72372
1780 ; 245479.0;0.72813
1780 ; 246482.0;0.71017
1780 ; 247485.0;0.70065
1780 ; 248488.0;0.70766
1780 ; 249491.0;0.69668
1780 ; 250494.0;0.70616
1780 ; 251497.0;0.71924
1780 ; 252500.0;0.70116
1780 ; 253503.0;0.70182
1780 ; 254506.0;0.70903
1780 ; 255509.0;0.70451
1780 ; 256512.0;0.69737
1780 ; 257515.0;0.69145
1780 ; 258518.0;0.72392
1780 ; 259521.0;0.70196
1780 ; 260524.0;0.70935
1780 ; 261527.0;0.7073
1780 ; 262530.0;0.7113
1780 ; 263533.0;0.69913
1780 ; 264536.0;0.71136
1780 ; 265539.0;0.70388
1780 ; 266542.0;0.70807
1780 ; 267545.0;0.71931
1780 ; 268548.0;0.69584
1780 ; 269551.0;0.70567
1780 ; 270554.0;0.71011
1780 ; 271557.0;0.69011
1780 ; 272560.0;0.67864
1780 ; 273563.0;0.69378
1780 ; 274566.0;0.69351
1780 ; 275569.0;0.70268
1780 ; 276572.0;0.69829
1780 ; 277575.0;0.71235
1780 ; 278578.0;0.69969
1780 ; 279581.0;0.70087
1780 ; 280584.0;0.71797
1780 ; 281587.0;0.70266
1780 ; 282590.0;0.7021
1780 ; 283593.0;0.69751
1780 ; 284596.0;0.71433
1780 ; 285599.0;0.70363
1780 ; 286602.0;0.70425
