Num of Anchor; Time [ms]; Data Anchor; dbm
1780; 9075.0;0.53;-61.35
1780; 10206.0;0.53;-60.34
1780; 11336.0;0.52;-60.8
1780; 12465.0;0.5;-61.9
1780; 13595.0;0.5;-60.96
1780; 14725.0;0.53;-60.82
1780; 15855.0;0.48;-61.74
1780; 16985.0;0.53;-62.02
1780; 18115.0;0.52;-61.74
1780; 19244.0;0.46;-61.37
1780; 20374.0;0.49;-61.15
1780; 21504.0;0.5;-61.07
1780; 22634.0;0.53;-60.31
1780; 23764.0;0.51;-61.25
1780; 24894.0;0.49;-61.48
1780; 26024.0;0.53;-60.32
1780; 27154.0;0.49;-60.72
1780; 28284.0;0.5;-61.06
1780; 29413.0;0.53;-61.75
1780; 30543.0;0.52;-61.44
1780; 31673.0;0.51;-61.49
1780; 32802.0;0.48;-61.59
1780; 33932.0;0.54;-62.06
1780; 35061.0;0.5;-61.24
1780; 36191.0;0.54;-61.79
1780; 37321.0;0.52;-61.67
1780; 38452.0;0.53;-60.71
1780; 39581.0;0.49;-61.83
1780; 40711.0;0.51;-60.94
1780; 41842.0;0.52;-61.41
1780; 42971.0;0.52;-60.36
1780; 44101.0;0.51;-60.72
1780; 45231.0;0.51;-61.02
1780; 46360.0;0.53;-60.73
1780; 47490.0;0.52;-61.03
1780; 48620.0;0.51;-61.42
1780; 49749.0;0.51;-61.7
1780; 50878.0;0.49;-59.73
1780; 52008.0;0.52;-61.6
1780; 53137.0;0.51;-61.32
1780; 54266.0;0.49;-61.08
1780; 55396.0;0.49;-61.18
1780; 56525.0;0.52;-61.52
1780; 57654.0;0.52;-60.82
1780; 58783.0;0.53;-61.65
1780; 59913.0;0.51;-61.36
1780; 61043.0;0.53;-60.98
1780; 62173.0;0.52;-61.49
1780; 63303.0;0.53;-60.39
1780; 64432.0;0.49;-61.26
1780; 65561.0;0.52;-61.16
1780; 66691.0;0.52;-60.42
1780; 67821.0;0.48;-61.64
1780; 68950.0;0.52;-61.68
1780; 70080.0;0.54;-61.65
1780; 71210.0;0.51;-61.44
1780; 72340.0;0.53;-61.24
1780; 73470.0;0.46;-61.48
1780; 74601.0;0.51;-60.56
1780; 75730.0;0.47;-61.79
1780; 76860.0;0.51;-61.23
1780; 77989.0;0.53;-61.56
1780; 79119.0;0.53;-61.93
1780; 80249.0;0.5;-60.94
1780; 81378.0;0.5;-61.55
1780; 82507.0;0.5;-62.05
1780; 83638.0;0.52;-61.48
1780; 84767.0;0.53;-61.93
1780; 85897.0;0.51;-62.21
1780; 87027.0;0.52;-61.48
1780; 88157.0;0.52;-61.72
1780; 89287.0;0.53;-61.48
1780; 90417.0;0.53;-62.21
1780; 91547.0;0.53;-61.26
1780; 92677.0;0.52;-61.07
1780; 93806.0;0.48;-61.33
1780; 94935.0;0.51;-60.93
1780; 96065.0;0.51;-61.3
1780; 97195.0;0.53;-61.74
1780; 98325.0;0.53;-61.73
1780; 99454.0;0.51;-60.91
1780; 100583.0;0.51;-62.15
1780; 101712.0;0.49;-61.31
1780; 102842.0;0.53;-60.99
1780; 103972.0;0.53;-61.38
1780; 105102.0;0.49;-61.67
1780; 106232.0;0.51;-61.19
1780; 107362.0;0.53;-60.46
1780; 108492.0;0.53;-61.4
1780; 109622.0;0.5;-61.4
1780; 110753.0;0.53;-60.81
1780; 111882.0;0.49;-61.8
1780; 113012.0;0.53;-61.48
1780; 114141.0;0.52;-61.21
1780; 115271.0;0.51;-60.16
1780; 116402.0;0.52;-61.53
1780; 117532.0;0.51;-61.37
1780; 118661.0;0.5;-61.4
1780; 119790.0;0.52;-59.76
1780; 120919.0;0.51;-61.66
1780; 122048.0;0.5;-60.92
1780; 123177.0;0.51;-62.08
1780; 124306.0;0.51;-61.82
1780; 125435.0;0.53;-61.45
1780; 126565.0;0.53;-60.73
1780; 127695.0;0.51;-60.85
1780; 128824.0;0.52;-60.66
1780; 129953.0;0.49;-60.67
1780; 131082.0;0.53;-61.21
1780; 132210.0;0.51;-62.16
1780; 133339.0;0.51;-62.26
1780; 134468.0;0.53;-61.13
1780; 135598.0;0.51;-61.22
1780; 136728.0;0.53;-60.71
1780; 137857.0;0.5;-61.93
1780; 141244.0;0.52;-61.64
1780; 142373.0;0.52;-61.4
1780; 143502.0;0.52;-61.66
1780; 144631.0;0.51;-61.87
1780; 145760.0;0.52;-61.01
1780; 146890.0;0.53;-61.82
1780; 148020.0;0.51;-61.44
1780; 149150.0;0.52;-61.78
1780; 150281.0;0.48;-61.74
1780; 151410.0;0.53;-61.3
1780; 152540.0;0.53;-61.4
1780; 153670.0;0.51;-61.92
1780; 154800.0;0.51;-61.39
1780; 155931.0;0.52;-60.94
