Num of Anchor; Time [ms]; Data Anchor
1780 ; 25307.0;0.0
1780 ; 26310.0;0.0
1780 ; 27312.0;1.09386
1780 ; 28315.0;1.22004
1780 ; 29318.0;1.1931
1780 ; 30321.0;1.25358
1780 ; 31324.0;1.26788
1780 ; 32327.0;1.36844
1780 ; 33330.0;1.36301
1780 ; 34333.0;1.38974
1780 ; 35336.0;1.36613
1780 ; 36339.0;1.30542
1780 ; 37342.0;1.31396
1780 ; 38345.0;1.34998
1780 ; 39347.0;1.33592
1780 ; 40350.0;1.32198
1780 ; 41353.0;1.23087
1780 ; 42356.0;1.2158
1780 ; 43359.0;1.30425
1780 ; 44362.0;1.2846
1780 ; 45365.0;1.34601
1780 ; 46368.0;1.27816
1780 ; 47371.0;1.38408
1780 ; 48374.0;1.25615
1780 ; 49377.0;1.36276
1780 ; 50380.0;1.33946
1780 ; 51383.0;1.4402
1780 ; 52386.0;1.39978
1780 ; 53389.0;1.41463
1780 ; 54392.0;1.46921
1780 ; 55395.0;1.19904
1780 ; 56398.0;1.27035
1780 ; 57401.0;1.28664
1780 ; 58404.0;1.34231
1780 ; 59407.0;1.33725
1780 ; 60410.0;1.36627
1780 ; 61413.0;1.26938
1780 ; 62416.0;1.28489
1780 ; 63419.0;1.36609
1780 ; 64422.0;1.43895
1780 ; 65425.0;1.39633
1780 ; 66428.0;1.4081
1780 ; 67431.0;1.27593
1780 ; 68434.0;1.25994
1780 ; 69437.0;1.41961
1780 ; 70440.0;1.41136
1780 ; 71443.0;1.30636
1780 ; 72446.0;1.29963
1780 ; 73449.0;1.34207
1780 ; 74452.0;1.22049
1780 ; 75455.0;1.42186
1780 ; 76458.0;1.4456
1780 ; 77461.0;1.37805
1780 ; 78464.0;1.41979
1780 ; 79467.0;1.43125
1780 ; 80470.0;1.37414
1780 ; 81473.0;1.34097
1780 ; 82476.0;1.3853
1780 ; 83479.0;1.34781
1780 ; 84482.0;1.4008
1780 ; 85485.0;1.46449
1780 ; 86488.0;1.36561
1780 ; 87491.0;1.37389
1780 ; 88494.0;1.3924
1780 ; 89497.0;1.41101
1780 ; 90500.0;1.29158
1780 ; 91503.0;1.30591
1780 ; 92506.0;1.36731
1780 ; 93509.0;1.36261
1780 ; 94512.0;1.44806
1780 ; 95515.0;1.29214
1780 ; 96518.0;1.29489
1780 ; 97521.0;1.51394
1780 ; 98524.0;1.37693
1780 ; 99527.0;1.31613
1780 ; 100530.0;1.30293
1780 ; 101533.0;1.42307
1780 ; 102536.0;1.29657
1780 ; 103539.0;1.19216
1780 ; 104542.0;1.27771
1780 ; 105545.0;1.26829
1780 ; 106548.0;1.38031
1780 ; 107551.0;1.29795
1780 ; 108554.0;1.26299
1780 ; 109557.0;1.33904
1780 ; 110560.0;1.28789
1780 ; 111563.0;1.45478
1780 ; 112566.0;1.31185
1780 ; 113569.0;1.28583
1780 ; 114572.0;1.3811
1780 ; 115575.0;1.26955
1780 ; 116578.0;1.37609
1780 ; 117581.0;1.18724
1780 ; 118584.0;1.36661
1780 ; 119587.0;1.3425
1780 ; 120590.0;1.33112
1780 ; 121593.0;1.25049
1780 ; 122596.0;1.35839
1780 ; 123599.0;1.30914
1780 ; 124602.0;1.35601
1780 ; 125605.0;1.34603
1780 ; 126608.0;1.37304
1780 ; 127611.0;1.26252
1780 ; 128614.0;1.28387
1780 ; 129617.0;1.38765
1780 ; 130620.0;1.33524
1780 ; 131623.0;1.31599
1780 ; 132626.0;1.35998
1780 ; 133629.0;1.38485
1780 ; 134632.0;1.41368
1780 ; 135635.0;1.37035
1780 ; 136638.0;1.2908
1780 ; 137641.0;1.2694
1780 ; 138644.0;1.2577
1780 ; 139647.0;1.2134
1780 ; 140650.0;1.34751
1780 ; 141653.0;1.33173
1780 ; 142656.0;1.33081
1780 ; 143659.0;1.37842
1780 ; 144662.0;1.30157
1780 ; 145665.0;1.35567
1780 ; 146668.0;1.29238
1780 ; 147670.0;1.28248
1780 ; 148673.0;1.44064
1780 ; 149676.0;1.37243
1780 ; 150679.0;1.29887
1780 ; 151682.0;1.34916
1780 ; 152685.0;1.31751
1780 ; 153688.0;1.45008
1780 ; 154691.0;1.32325
1780 ; 155694.0;1.32281
1780 ; 156697.0;1.38177
1780 ; 157699.0;1.3953
1780 ; 158702.0;1.34362
1780 ; 159705.0;1.33571
1780 ; 160708.0;1.33277
1780 ; 161711.0;1.30692
1780 ; 162714.0;1.42819
1780 ; 163717.0;1.24265
1780 ; 164720.0;1.41876
1780 ; 165723.0;1.32312
1780 ; 166726.0;1.29642
1780 ; 167729.0;1.28295
1780 ; 168732.0;1.26567
1780 ; 169735.0;1.3217
1780 ; 170738.0;1.42408
1780 ; 171741.0;1.32278
1780 ; 172744.0;1.24807
1780 ; 173747.0;1.38125
1780 ; 174750.0;1.45244
1780 ; 175753.0;1.29067
1780 ; 176756.0;1.36584
1780 ; 177759.0;1.26966
1780 ; 178762.0;1.40142
1780 ; 179765.0;1.38609
1780 ; 180768.0;1.4109
1780 ; 181771.0;1.38391
1780 ; 182774.0;1.40039
1780 ; 183777.0;1.32392
1780 ; 184780.0;1.32838
1780 ; 185783.0;1.41104
1780 ; 186786.0;1.43046
1780 ; 187789.0;1.39117
1780 ; 188792.0;1.26912
1780 ; 189795.0;1.34344
1780 ; 190798.0;1.31272
1780 ; 191801.0;1.36425
1780 ; 192804.0;1.24466
1780 ; 193807.0;1.3877
1780 ; 194810.0;1.31949
1780 ; 195813.0;1.36783
1780 ; 196816.0;1.43208
1780 ; 197819.0;1.23456
1780 ; 198822.0;1.32971
1780 ; 199825.0;1.22973
1780 ; 200828.0;1.3397
1780 ; 201831.0;1.3459
1780 ; 202834.0;1.2777
1780 ; 203837.0;1.37903
1780 ; 204840.0;1.38671
1780 ; 205843.0;1.36887
1780 ; 206846.0;1.34855
1780 ; 207849.0;1.21674
1780 ; 208852.0;1.36477
1780 ; 209855.0;1.29799
1780 ; 210858.0;1.38045
1780 ; 211861.0;1.27747
1780 ; 212864.0;1.30537
1780 ; 213867.0;1.3345
1780 ; 214870.0;1.37015
1780 ; 215873.0;1.36468
1780 ; 216876.0;1.29601
1780 ; 217879.0;1.38619
1780 ; 218882.0;1.3873
1780 ; 219885.0;1.27546
1780 ; 220888.0;1.26743
1780 ; 221891.0;1.2244
1780 ; 222894.0;1.32586
1780 ; 223897.0;1.25976
1780 ; 224900.0;1.30899
1780 ; 225903.0;1.2507
1780 ; 226906.0;1.2878
1780 ; 227909.0;1.24329
1780 ; 228912.0;1.43503
1780 ; 229915.0;1.22748
1780 ; 230918.0;1.35328
1780 ; 231921.0;1.27936
1780 ; 232924.0;1.28725
1780 ; 233927.0;1.38724
1780 ; 234930.0;1.31575
1780 ; 235933.0;1.258
1780 ; 236936.0;1.34687
1780 ; 237939.0;1.3972
1780 ; 238942.0;1.3415
1780 ; 239945.0;1.35473
1780 ; 240948.0;1.28205
1780 ; 241950.0;1.2771
1780 ; 242953.0;1.36712
1780 ; 243956.0;1.38289
1780 ; 244959.0;1.25529
1780 ; 245962.0;1.6929
1780 ; 246965.0;1.46064
1780 ; 247968.0;1.35489
1780 ; 248971.0;1.44111
1780 ; 249974.0;1.36749
1780 ; 250977.0;1.33562
1780 ; 251980.0;1.42284
1780 ; 252983.0;1.42989
1780 ; 253986.0;1.41278
1780 ; 254989.0;1.35993
1780 ; 255992.0;1.46592
1780 ; 256995.0;1.2263
1780 ; 257998.0;1.39846
1780 ; 259001.0;1.4418
1780 ; 260004.0;1.22754
1780 ; 261007.0;1.3428
1780 ; 262010.0;1.34388
1780 ; 263013.0;1.33091
1780 ; 264016.0;1.3163
1780 ; 265019.0;1.30786
1780 ; 266022.0;1.29247
1780 ; 267025.0;1.27539
1780 ; 268028.0;1.32877
1780 ; 269031.0;1.30195
1780 ; 270034.0;1.36285
1780 ; 271037.0;1.30739
1780 ; 272040.0;1.36746
1780 ; 273043.0;1.27436
1780 ; 274046.0;1.33655
1780 ; 275049.0;1.3313
1780 ; 276052.0;1.24242
1780 ; 277055.0;1.3392
1780 ; 278058.0;1.35326
1780 ; 279061.0;1.34293
1780 ; 280064.0;1.35436
1780 ; 281067.0;1.46951
1780 ; 282070.0;1.31686
1780 ; 283073.0;1.47642
1780 ; 284076.0;1.40458
1780 ; 285079.0;1.35386
1780 ; 286082.0;1.24837
1780 ; 287085.0;1.5598
1780 ; 288088.0;1.45093
1780 ; 289091.0;1.33349
1780 ; 290094.0;1.37597
1780 ; 291097.0;1.42183
1780 ; 292100.0;1.36352
1780 ; 293103.0;1.30626
1780 ; 294106.0;1.35605
1780 ; 295109.0;1.37913
1780 ; 296112.0;1.32733
1780 ; 297115.0;1.35601
1780 ; 298118.0;1.34276
1780 ; 299121.0;1.29946
1780 ; 300124.0;1.26959
1780 ; 301127.0;1.38854
1780 ; 302130.0;1.27778
1780 ; 303132.0;1.36913
1780 ; 304135.0;1.33193
1780 ; 305138.0;1.35971
1780 ; 306141.0;1.39367
1780 ; 307144.0;1.32629
1780 ; 308147.0;1.31564
