Num of Anchor; Time [ms]; Data Anchor
1780 ; 31916.0;0.0
1780 ; 32919.0;0.0
1780 ; 33922.0;0.39546
1780 ; 34925.0;0.47976
1780 ; 35928.0;0.46602
1780 ; 36931.0;0.45143
1780 ; 37934.0;0.44309
1780 ; 38937.0;0.46501
1780 ; 39940.0;0.47367
1780 ; 40943.0;0.47584
1780 ; 41946.0;0.47831
1780 ; 42949.0;0.46539
1780 ; 43952.0;0.47955
1780 ; 44955.0;0.46825
1780 ; 45958.0;0.46474
1780 ; 46961.0;0.46132
1780 ; 47964.0;0.48129
1780 ; 48967.0;0.46662
1780 ; 49970.0;0.47163
1780 ; 50973.0;0.46948
1780 ; 51976.0;0.44788
1780 ; 52979.0;0.46879
1780 ; 53982.0;0.46694
1780 ; 54985.0;0.46744
1780 ; 55988.0;0.46758
1780 ; 56991.0;0.45702
1780 ; 57994.0;0.47473
1780 ; 58997.0;0.46849
1780 ; 60000.0;0.46782
1780 ; 61003.0;0.4479
1780 ; 62006.0;0.45578
1780 ; 63009.0;0.4629
1780 ; 64012.0;0.46889
1780 ; 65015.0;0.48279
1780 ; 66018.0;0.4715
1780 ; 67021.0;0.47202
1780 ; 68024.0;0.47617
1780 ; 69027.0;0.46824
1780 ; 70030.0;0.46532
1780 ; 71033.0;0.45589
1780 ; 72036.0;0.47499
1780 ; 73039.0;0.45807
1780 ; 74042.0;0.47046
1780 ; 75045.0;0.46978
1780 ; 76048.0;0.46769
1780 ; 77051.0;0.46752
1780 ; 78054.0;0.46482
1780 ; 79057.0;0.46859
1780 ; 80060.0;0.45619
1780 ; 81063.0;0.47378
1780 ; 82066.0;0.47383
1780 ; 83069.0;0.46509
1780 ; 84072.0;0.44481
1780 ; 85075.0;0.45932
1780 ; 86078.0;0.47254
1780 ; 87081.0;0.46702
1780 ; 88084.0;0.47775
1780 ; 89087.0;0.47372
1780 ; 90090.0;0.46026
1780 ; 91093.0;0.46889
1780 ; 92096.0;0.46884
1780 ; 93099.0;0.45803
1780 ; 94102.0;0.45848
1780 ; 95105.0;0.47565
1780 ; 96108.0;0.47261
1780 ; 97111.0;0.49804
1780 ; 98114.0;0.4728
1780 ; 99117.0;0.47963
1780 ; 100120.0;0.47123
1780 ; 101123.0;0.45591
1780 ; 102126.0;0.46655
1780 ; 103129.0;0.46439
1780 ; 104132.0;0.46252
1780 ; 105135.0;0.47493
1780 ; 106138.0;0.46262
1780 ; 107141.0;0.46393
1780 ; 108144.0;0.46709
1780 ; 109147.0;0.46341
1780 ; 110150.0;0.45092
1780 ; 111153.0;0.45217
1780 ; 112156.0;0.46393
1780 ; 113159.0;0.46455
1780 ; 114162.0;0.46825
1780 ; 115165.0;0.46162
1780 ; 116168.0;0.46523
1780 ; 117171.0;0.47321
1780 ; 118174.0;0.47149
1780 ; 119177.0;0.46421
1780 ; 120180.0;0.47384
1780 ; 121183.0;0.45947
1780 ; 122186.0;0.46113
1780 ; 123189.0;0.47143
1780 ; 124192.0;0.45899
1780 ; 125195.0;0.46977
1780 ; 126198.0;0.45823
1780 ; 127201.0;0.46521
1780 ; 128204.0;0.4621
1780 ; 129207.0;0.48
1780 ; 130210.0;0.45294
1780 ; 131213.0;0.45475
1780 ; 132216.0;0.47444
1780 ; 133219.0;0.45738
1780 ; 134222.0;0.45638
1780 ; 135225.0;0.47311
1780 ; 136228.0;0.45929
1780 ; 137231.0;0.46024
1780 ; 138234.0;0.48204
1780 ; 139237.0;0.46627
1780 ; 140240.0;0.45976
1780 ; 141243.0;0.43683
1780 ; 142246.0;0.44439
1780 ; 143249.0;0.45655
1780 ; 144252.0;0.45515
1780 ; 145255.0;0.4584
1780 ; 146258.0;0.45902
1780 ; 147261.0;0.45741
1780 ; 148264.0;0.45013
1780 ; 149267.0;0.48105
1780 ; 150270.0;0.46032
1780 ; 151273.0;0.45613
1780 ; 152276.0;0.45681
1780 ; 153279.0;0.46219
1780 ; 154282.0;0.46886
1780 ; 155285.0;0.4646
1780 ; 156288.0;0.46266
1780 ; 157291.0;0.45501
1780 ; 158294.0;0.45484
1780 ; 159297.0;0.45856
1780 ; 160300.0;0.45766
1780 ; 161303.0;0.47185
1780 ; 162306.0;0.44855
1780 ; 163309.0;0.46037
1780 ; 164312.0;0.46833
1780 ; 165315.0;0.45732
1780 ; 166318.0;0.44882
1780 ; 167321.0;0.47343
1780 ; 168324.0;0.45753
1780 ; 169327.0;0.44731
1780 ; 170330.0;0.4596
1780 ; 171333.0;0.47031
1780 ; 172336.0;0.45873
1780 ; 173339.0;0.46461
1780 ; 174342.0;0.46321
1780 ; 175345.0;0.46945
1780 ; 176348.0;0.46708
1780 ; 177351.0;0.46805
1780 ; 178354.0;0.46637
1780 ; 179356.0;0.46349
1780 ; 180359.0;0.47027
1780 ; 181362.0;0.47192
1780 ; 182365.0;0.45524
1780 ; 183368.0;0.46349
1780 ; 184371.0;0.46474
1780 ; 185374.0;0.46647
1780 ; 186377.0;0.46238
1780 ; 187380.0;0.45475
1780 ; 188383.0;0.462
1780 ; 189386.0;0.46172
1780 ; 190389.0;0.46585
1780 ; 191392.0;0.46273
1780 ; 192395.0;0.46068
1780 ; 193398.0;0.46557
1780 ; 194401.0;0.46506
1780 ; 195405.0;0.48023
1780 ; 196408.0;0.47417
1780 ; 197411.0;0.45407
1780 ; 198414.0;0.46499
