Time name; timer [s/ps]
timePollSent;8232746.5
timePollAckReceived;8247544.0
timePollAckReceived;8349548.0
timeRangeSent;8364357.0
timeINO;10283.0
timePollSent;8436751.0
timePollAckReceived;8451551.0
timePollAckReceived;8553553.0
timeRangeSent;8568360.0
timeINO;10487.0
timePollSent;8640755.0
timePollAckReceived;8655551.0
timePollAckReceived;8757551.0
timeRangeSent;8772359.0
timeINO;10691.0
timePollSent;8844759.0
timePollAckReceived;8859556.0
timePollAckReceived;8961558.0
timeRangeSent;8976366.0
timeINO;10895.0
timePollSent;9048764.0
timePollAckReceived;9063559.0
timePollAckReceived;9165563.0
timeRangeSent;9180373.0
timeINO;11099.0
timePollSent;9252769.0
timePollAckReceived;9267567.0
timePollAckReceived;9369569.0
timeRangeSent;9384379.0
timeINO;11303.0
timePollSent;9558775.0
timePollAckReceived;9573571.0
timePollAckReceived;9675575.0
timeRangeSent;9690384.0
timeINO;11609.0
timePollSent;9864780.0
timePollAckReceived;9879583.0
timePollAckReceived;9981579.0
timeRangeSent;9996385.0
timeINO;11915.0
timePollSent;10068786.0
timePollAckReceived;10083583.0
timePollAckReceived;10185583.0
timeRangeSent;10200388.0
timeINO;12119.0
timePollSent;10374791.0
timePollAckReceived;10389586.0
timePollAckReceived;10491588.0
timeRangeSent;10506396.0
timeINO;12425.0
timePollSent;10578798.0
timePollAckReceived;10593594.0
timePollAckReceived;10695595.0
timeRangeSent;10710403.0
timeINO;12629.0
timePollSent;10782801.0
timePollAckReceived;10797597.0
timePollAckReceived;10899598.0
timeRangeSent;10914408.0
timeINO;12833.0
timePollSent;10986807.0
timePollAckReceived;11001604.0
timePollAckReceived;11103602.0
timeRangeSent;11118408.0
timeINO;13037.0
timePollSent;11190811.0
timePollAckReceived;11205607.0
timePollAckReceived;11307609.0
timeRangeSent;11322416.0
timeINO;13241.0
timePollSent;11394816.0
timePollAckReceived;11409613.0
timePollAckReceived;11511614.0
timeRangeSent;11526420.0
timeINO;13445.0
timePollSent;11598818.0
timePollAckReceived;11613614.0
timePollAckReceived;11715615.0
timeRangeSent;11730424.0
timeINO;13649.0
timePollSent;11904823.0
timePollAckReceived;11919625.0
timePollAckReceived;12021622.0
timeRangeSent;12036430.0
timeINO;13955.0
timePollSent;12108830.0
timePollAckReceived;12123627.0
timePollAckReceived;12225628.0
timeRangeSent;12240437.0
