Time name; timer [s/ps]
timePollSent;1806627.87
timePollAckReceived;1821436.87
timePollAckReceived;1923406.75
timeRangeSent;1938212.0
timeINO;3857.0
timePollSent;2010606.37
timePollAckReceived;2025408.12
timePollAckReceived;2127410.0
timeRangeSent;2142215.5
timeINO;4061.0
timePollSent;2214611.0
timePollAckReceived;2229413.25
timePollAckReceived;2331413.75
timeRangeSent;2346221.25
timeINO;4265.0
timePollSent;2418615.25
timePollAckReceived;2433415.75
timePollAckReceived;2535415.75
timeRangeSent;2550224.0
timeINO;4469.0
timePollSent;2622620.25
timePollAckReceived;2637422.0
timePollAckReceived;2739421.75
timeRangeSent;2754230.0
timeINO;4673.0
timePollSent;2826624.25
timePollAckReceived;2841423.75
timePollAckReceived;2943428.75
timeRangeSent;2958236.0
timeINO;4877.0
timePollSent;3030628.0
timePollAckReceived;3045433.75
timePollAckReceived;3147436.5
timeRangeSent;3162245.75
timeINO;5081.0
timePollSent;3234633.5
timePollAckReceived;3249440.0
timePollAckReceived;3351435.0
timeRangeSent;3366242.25
timeINO;5285.0
timePollSent;3438638.25
timePollAckReceived;3453442.75
timePollAckReceived;3555439.75
timeRangeSent;3570248.5
timeINO;5489.0
timePollSent;3642642.0
timePollAckReceived;3657442.75
timePollAckReceived;3759445.75
timeRangeSent;3774256.0
timeINO;5693.0
timePollSent;3948649.25
timePollAckReceived;3963450.75
timePollAckReceived;4065453.75
timeRangeSent;4080262.25
timeINO;5999.0
timePollSent;4152651.25
timePollAckReceived;4167454.75
timePollAckReceived;4269456.5
timeRangeSent;4284265.5
timeINO;6203.0
timePollSent;4356657.5
timePollAckReceived;4371461.0
timePollAckReceived;4473464.0
timeRangeSent;4488272.5
timeINO;6407.0
timePollSent;4560662.5
timePollAckReceived;4575466.0
timePollAckReceived;4677467.0
timeRangeSent;4692276.5
timeINO;6611.0
timePollSent;4764664.5
timePollAckReceived;4779467.5
timePollAckReceived;4881469.0
timeRangeSent;4896275.5
timeINO;6815.0
timePollSent;4968669.0
timePollAckReceived;4983470.5
timePollAckReceived;5085476.5
timeRangeSent;5100286.0
timeINO;7019.0
timePollSent;5172675.0
timePollAckReceived;5187478.0
timePollAckReceived;5289481.0
timeRangeSent;5304288.5
timeINO;7223.0
timePollSent;5376679.5
timePollAckReceived;5391481.5
timePollAckReceived;5493484.5
timeRangeSent;5508289.5
timeINO;7427.0
timePollSent;5580682.5
timePollAckReceived;5595485.0
timePollAckReceived;5697488.5
timeRangeSent;5712296.0
timeINO;7631.0
timePollSent;5784688.0
timePollAckReceived;5799490.5
timePollAckReceived;5901494.5
timeRangeSent;5916302.0
timeINO;7835.0
timePollSent;6090694.5
timePollAckReceived;6105498.5
timePollAckReceived;6207498.5
timeRangeSent;6222308.0
timeINO;8141.0
timePollSent;6294698.0
timePollAckReceived;6309502.5
timePollAckReceived;6411503.5
timeRangeSent;6426314.0
timeINO;8345.0
timePollSent;6498702.5
timePollAckReceived;6513507.0
timePollAckReceived;6615510.0
timeRangeSent;6630319.0
timeINO;8549.0
timePollSent;6702708.5
timePollAckReceived;6717514.0
timePollAckReceived;6819511.0
timeRangeSent;6834321.0
timeINO;8753.0
timePollSent;6906713.0
timePollAckReceived;6921517.5
timePollAckReceived;7023516.5
timeRangeSent;7038326.0
timeINO;8957.0
timePollSent;7110717.5
timePollAckReceived;7125520.0
timePollAckReceived;7227523.0
timeRangeSent;7242331.5
timeINO;9161.0
timePollSent;7314722.0
timePollAckReceived;7329525.0
timePollAckReceived;7431526.0
timeRangeSent;7446336.0
timeINO;9365.0
timePollSent;7518727.0
timePollAckReceived;7533526.0
timePollAckReceived;7635532.0
timeRangeSent;7650340.5
timeINO;9569.0
timePollSent;7722729.0
timePollAckReceived;7737534.0
timePollAckReceived;7839533.0
timeRangeSent;7854338.0
timeINO;9773.0
timePollSent;7926733.5
timePollAckReceived;7941536.0
timePollAckReceived;8043537.0
timeRangeSent;8058345.5
timeINO;9977.0
timePollSent;8232741.5
timePollAckReceived;8247545.0
timePollAckReceived;8349544.5
timeRangeSent;8364354.0
timeINO;10283.0
timePollSent;8436747.0
timePollAckReceived;8451548.0
timePollAckReceived;8655551.0
timeRangeSent;8670365.0
timeINO;10589.0
timePollSent;8742753.0
timePollAckReceived;8757554.0
timePollAckReceived;8859558.0
timeRangeSent;8874368.0
timeINO;10793.0
timePollSent;8946757.0
timePollAckReceived;8961562.0
timePollAckReceived;9063558.0
timeRangeSent;9078366.0
timeINO;10997.0
timePollSent;9150759.0
timePollAckReceived;9165561.0
timePollAckReceived;9267569.0
timeRangeSent;9282376.0
timeINO;11201.0
timePollSent;9354767.0
timePollAckReceived;9369569.0
timePollAckReceived;9471573.0
timeRangeSent;9486380.0
timeINO;11405.0
timePollSent;9558771.0
timePollAckReceived;9573573.0
timePollAckReceived;9675575.0
timeRangeSent;9690381.0
timeINO;11609.0
timePollSent;9762776.0
timePollAckReceived;9777579.0
timePollAckReceived;9879574.0
timeRangeSent;9894382.0
timeINO;11813.0
timePollSent;9966779.0
